Step, Time, BitDepth, HoleDepth, blockPosition. JointLength, hookload, DWOB, Torque, RPM, PumpPress, FlowRate
Step 2 Kelly, 62450, 4942.05947210782, 4982.6, 73.8405278921754, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 62500, 4942.04543242231, 4982.6, 73.8545675776864, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 62550, 4942.0313927368, 4982.6, 73.8686072631975, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 62600, 4942.01735305129, 4982.6, 73.8826469487085, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 62650, 4942.00331336577, 4982.6, 73.8966866342196, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 62700, 4941.98927368026, 4982.6, 73.9107263197306, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 62750, 4941.97523399475, 4982.6, 73.9247660052417, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 62800, 4941.96119430924, 4982.6, 73.9388056907527, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 62850, 4941.94949457132, 4982.6, 73.9505054286786, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 62900, 4941.9354548858, 4982.6, 73.9645451141897, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 62950, 4941.92141520029, 4982.6, 73.9785847997007, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63000, 4941.90737551478, 4982.6, 73.9926244852118, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63050, 4941.89333582927, 4982.6, 74.0066641707228, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63100, 4941.87929614376, 4982.6, 74.0207038562339, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63150, 4941.86525645825, 4982.6, 74.0347435417449, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 63200, 4941.85121677274, 4982.6, 74.048783227256, 0, 156646.764089296, 0, 0, 0, 0, 0
